record,infected,tested,recovered,deceased,country,moreData,historyData,sourceUrl,lastUpdatedApify,lastUpdatedSource
,137594,6997500,NA,1062,Finland,https://api.apify.com/v2/key-value-stores/jEFt5tgCTMfjJpLD3/records/LATEST?disableRedirect=true,https://api.apify.com/v2/datasets/BDEAOLx0DzEW91s5L/items?format=json&clean=1,https://thl.fi/en/web/infectious-diseases-and-vaccinations/what-s-new/coronavirus-covid-19-latest-updates/situation-update-on-coronavirus,2021-09-30T13:00:00.000Z,
,,NA,NA,NA,France,https://api.apify.com/v2/key-value-stores/ufVgKLP8ljtn3ufaU/records/LATEST?disableRedirect=true,https://api.apify.com/v2/datasets/QBiS7pd57KVmFfgZM/items?format=json&clean=1,https://dashboard.covid19.data.gouv.fr/,2022-01-26T11:00:00.000Z,2022-01-25T00:00:00.000Z
,9035795,NA,NA,117126,Germany,https://api.apify.com/v2/key-value-stores/OHrZyNo9BzT6xKMRD/records/LATEST?disableRedirect=true,https://api.apify.com/v2/datasets/dcm4uXhiGIjVdJAzS/items?format=json&clean=1,,2022-01-26T11:00:24.000Z,
,377293,NA,118848,10373,Honduras,https://api.apify.com/v2/key-value-stores/b11FFW9RA1B3gIMyg/records/LATEST?disableRedirect=true,https://api.apify.com/v2/datasets/VDtCgFny8WSfPStct/items?format=json&clean=1,,2021-11-22T19:00:00.000Z,
,1471276,9839158,1224813,41087,Hungary,https://api.apify.com/v2/key-value-stores/RGEUeKe60NjU16Edo/records/LATEST?disableRedirect=true,https://api.apify.com/v2/datasets/Gm6qjTgGqxkEZTkuJ/items?format=json&clean=1,https://koronavirus.gov.hu,2022-01-26T12:00:00.000Z,2022-01-26T08:52:00.000Z
,40085116,NA,37370971,491127,India,https://api.apify.com/v2/key-value-stores/toDWvRj1JpTXiM8FF/records/LATEST?disableRedirect=true,https://api.apify.com/v2/datasets/58a4VXwBBF0HtxuQa/items?format=json&clean=1,https://www.mohfw.gov.in/,2022-01-26T12:00:00.000Z,
,6267559,43680828,6085073,132274,Iran,https://api.apify.com/v2/key-value-stores/XV4DWf1ctkSPA8H99/records/LATEST?disableRedirect=true,https://api.apify.com/v2/datasets/PJEXhmQM0hkN8K3BK/items?format=json&clean=1,https://www.worldometers.info/coronavirus/,2022-01-26T11:00:00.000Z,
,10216395,NA,7382789,144344,Italy,https://api.apify.com/v2/key-value-stores/UFpnR8mukiu0TSrb4/records/LATEST?disableRedirect=true,https://api.apify.com/v2/datasets/CUdKmb25Z3HjkoDiN/items?format=json&clean=1,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-json/dpc-covid19-ita-andamento-nazionale.json,2022-01-26T12:00:18.494Z,2022-01-25T17:00:00.000Z
,2358802,NA,NA,18496,Japan,https://api.apify.com/v2/key-value-stores/YbboJrL3cgVfkV1am/records/LATEST?disableRedirect=true,https://api.apify.com/v2/datasets/ugfJOQkPhQ0fvLYzN/items?format=json&clean=1,,2022-01-26T11:00:29.000Z,
,137570,3926805,NA,943,Luxembourg,https://api.apify.com/v2/key-value-stores/RVkUl1Y7FZn3Y410K/records/LATEST?disableRedirect=true,https://api.apify.com/v2/datasets/oZH6thpQSdIyo3ky2/items?format=json&clean=1,https://data.public.lu/fr/datasets/donnees-covid19/,2022-01-26T11:00:00.000Z,2022-01-21T17:50:00.000Z
,2840225,NA,2762608,31918,Malaysia,https://api.apify.com/v2/key-value-stores/6t65lJVfs3d8s6aKc/records/LATEST?disableRedirect=true,https://api.apify.com/v2/datasets/7Fdb90FMDLZir2ROo/items?format=json&clean=1,https://www.worldometers.info/coronavirus/,2022-01-26T12:00:00.000Z,
